YEAR,REGION,GENRE,TRANCHE_AGE,NB_STUDENTS,POPULATION_INSEE_2025,PART_STUDENTS,PART_INSEE,PERIMETRE_ANALYSE
2023,Normandie,homme,20-39,9,,0.007826,,Analyse interne OC
2023,Normandie,homme,40-59,5,,0.004348,,Analyse interne OC
2023,Nouvelle-Aquitaine,Non renseigné,20-39,14,,0.012174,,Analyse interne OC
2023,Nouvelle-Aquitaine,Non renseigné,40-59,7,,0.006087,,Analyse interne OC
2023,Nouvelle-Aquitaine,femme,20-39,6,,0.005217,,Analyse interne OC
2023,Nouvelle-Aquitaine,femme,40-59,8,,0.006957,,Analyse interne OC
2023,Nouvelle-Aquitaine,homme,20-39,23,,0.020000,,Analyse interne OC
2023,Nouvelle-Aquitaine,homme,40-59,5,,0.004348,,Analyse interne OC
2023,Occitanie,Non renseigné,20-39,16,,0.013913,,Analyse interne OC
2023,Occitanie,Non renseigné,40-59,4,,0.003478,,Analyse interne OC
2023,Occitanie,femme,20-39,4,,0.003478,,Analyse interne OC
2023,Occitanie,femme,40-59,3,,0.002609,,Analyse interne OC
2023,Occitanie,homme,20-39,13,,0.011304,,Analyse interne OC
2023,Occitanie,homme,40-59,7,,0.006087,,Analyse interne OC
2023,Pays de la Loire,Non renseigné,20-39,12,,0.010435,,Analyse interne OC
2023,Pays de la Loire,Non renseigné,40-59,2,,0.001739,,Analyse interne OC
2023,Pays de la Loire,femme,20-39,1,,0.000870,,Analyse interne OC
2023,Pays de la Loire,femme,40-59,4,,0.003478,,Analyse interne OC
2023,Pays de la Loire,homme,20-39,14,,0.012174,,Analyse interne OC
2023,Pays de la Loire,homme,40-59,6,,0.005217,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,Non renseigné,20-39,13,,0.011304,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,Non renseigné,40-59,5,,0.004348,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,Non renseigné,60+,1,,0.000870,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,femme,20-39,7,,0.006087,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,femme,40-59,3,,0.002609,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,homme,20-39,26,,0.022609,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,homme,40-59,6,,0.005217,,Analyse interne OC
2023,Provence-Alpes-Côte d'Azur,homme,60+,1,,0.000870,,Analyse interne OC
2023,Île-de-France,Non renseigné,20-39,131,,0.113913,,Analyse interne OC
2023,Île-de-France,Non renseigné,40-59,75,,0.065217,,Analyse interne OC
2023,Île-de-France,Non renseigné,60+,5,,0.004348,,Analyse interne OC
2023,Île-de-France,femme,20-39,109,,0.094783,,Analyse interne OC
2023,Île-de-France,femme,40-59,39,,0.033913,,Analyse interne OC
2023,Île-de-France,homme,20-39,177,,0.153913,,Analyse interne OC
2023,Île-de-France,homme,40-59,78,,0.067826,,Analyse interne OC
2023,Île-de-France,homme,60+,8,,0.006957,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,Non renseigné,20-39,2,,0.002353,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,Non renseigné,40-59,4,,0.004706,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,femme,20-39,13,,0.015294,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,femme,40-59,2,,0.002353,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,homme,20-39,47,,0.055294,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,homme,40-59,17,,0.020000,,Analyse interne OC
2024,Auvergne-Rhône-Alpes,homme,60+,2,,0.002353,,Analyse interne OC
2024,Bourgogne-Franche-Comté,femme,40-59,1,,0.001176,,Analyse interne OC
2024,Bourgogne-Franche-Comté,homme,20-39,13,,0.015294,,Analyse interne OC
2024,Bourgogne-Franche-Comté,homme,40-59,1,,0.001176,,Analyse interne OC
2024,Bretagne,Non renseigné,20-39,3,,0.003529,,Analyse interne OC
2024,Bretagne,femme,20-39,7,,0.008235,,Analyse interne OC
2024,Bretagne,femme,40-59,2,,0.002353,,Analyse interne OC
2024,Bretagne,homme,20-39,12,,0.014118,,Analyse interne OC
2024,Bretagne,homme,40-59,6,,0.007059,,Analyse interne OC
2024,Centre-Val de Loire,Non renseigné,20-39,1,,0.001176,,Analyse interne OC
2024,Centre-Val de Loire,femme,20-39,2,,0.002353,,Analyse interne OC
2024,Centre-Val de Loire,femme,40-59,1,,0.001176,,Analyse interne OC
2024,Centre-Val de Loire,homme,20-39,16,,0.018824,,Analyse interne OC
2024,Centre-Val de Loire,homme,40-59,6,,0.007059,,Analyse interne OC
2024,DROM,femme,20-39,1,,0.001176,,Analyse interne OC
2024,DROM,femme,40-59,2,,0.002353,,Analyse interne OC
2024,DROM,homme,20-39,3,,0.003529,,Analyse interne OC
2024,DROM,homme,40-59,3,,0.003529,,Analyse interne OC
2024,Grand Est,Non renseigné,20-39,4,,0.004706,,Analyse interne OC
2024,Grand Est,Non renseigné,40-59,4,,0.004706,,Analyse interne OC
2024,Grand Est,femme,20-39,6,,0.007059,,Analyse interne OC
2024,Grand Est,femme,40-59,1,,0.001176,,Analyse interne OC
2024,Grand Est,homme,20-39,32,,0.037647,,Analyse interne OC
2024,Grand Est,homme,40-59,11,,0.012941,,Analyse interne OC
2024,Hauts-de-France,Non renseigné,20-39,5,,0.005882,,Analyse interne OC
2024,Hauts-de-France,Non renseigné,40-59,2,,0.002353,,Analyse interne OC
2024,Hauts-de-France,femme,20-39,5,,0.005882,,Analyse interne OC
2024,Hauts-de-France,homme,20-39,33,,0.038824,,Analyse interne OC
2024,Hauts-de-France,homme,40-59,13,,0.015294,,Analyse interne OC
2024,Normandie,Non renseigné,20-39,3,,0.003529,,Analyse interne OC
2024,Normandie,Non renseigné,40-59,1,,0.001176,,Analyse interne OC
2024,Normandie,femme,20-39,4,,0.004706,,Analyse interne OC
2024,Normandie,femme,40-59,3,,0.003529,,Analyse interne OC
2024,Normandie,homme,20-39,10,,0.011765,,Analyse interne OC
2024,Normandie,homme,40-59,3,,0.003529,,Analyse interne OC
2024,Nouvelle-Aquitaine,Non renseigné,20-39,2,,0.002353,,Analyse interne OC
2024,Nouvelle-Aquitaine,Non renseigné,40-59,1,,0.001176,,Analyse interne OC
2024,Nouvelle-Aquitaine,femme,20-39,12,,0.014118,,Analyse interne OC
2024,Nouvelle-Aquitaine,femme,40-59,7,,0.008235,,Analyse interne OC
2024,Nouvelle-Aquitaine,homme,20-39,32,,0.037647,,Analyse interne OC
2024,Nouvelle-Aquitaine,homme,40-59,11,,0.012941,,Analyse interne OC
2024,Occitanie,Non renseigné,20-39,5,,0.005882,,Analyse interne OC
2024,Occitanie,Non renseigné,40-59,1,,0.001176,,Analyse interne OC
2024,Occitanie,femme,20-39,11,,0.012941,,Analyse interne OC
2024,Occitanie,femme,40-59,4,,0.004706,,Analyse interne OC
2024,Occitanie,homme,20-39,26,,0.030588,,Analyse interne OC
2024,Occitanie,homme,40-59,9,,0.010588,,Analyse interne OC
2024,Pays de la Loire,Non renseigné,20-39,5,,0.005882,,Analyse interne OC
2024,Pays de la Loire,femme,20-39,5,,0.005882,,Analyse interne OC
2024,Pays de la Loire,femme,40-59,4,,0.004706,,Analyse interne OC
2024,Pays de la Loire,homme,20-39,9,,0.010588,,Analyse interne OC
2024,Pays de la Loire,homme,40-59,4,,0.004706,,Analyse interne OC
2024,Provence-Alpes-Côte d'Azur,Non renseigné,20-39,4,,0.004706,,Analyse interne OC
2024,Provence-Alpes-Côte d'Azur,femme,20-39,9,,0.010588,,Analyse interne OC
2024,Provence-Alpes-Côte d'Azur,femme,40-59,6,,0.007059,,Analyse interne OC
2024,Provence-Alpes-Côte d'Azur,homme,20-39,21,,0.024706,,Analyse interne OC
2024,Provence-Alpes-Côte d'Azur,homme,40-59,10,,0.011765,,Analyse interne OC
2024,Île-de-France,Non renseigné,20-39,23,,0.027059,,Analyse interne OC
2024,Île-de-France,Non renseigné,40-59,16,,0.018824,,Analyse interne OC
2024,Île-de-France,femme,20-39,88,,0.103529,,Analyse interne OC
2024,Île-de-France,femme,40-59,21,,0.024706,,Analyse interne OC
2024,Île-de-France,homme,20-39,143,,0.168235,,Analyse interne OC
2024,Île-de-France,homme,40-59,53,,0.062353,,Analyse interne OC
2024,Île-de-France,homme,60+,1,,0.001176,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,Non renseigné,20-39,3,,0.003155,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,Non renseigné,40-59,1,,0.001052,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,femme,20-39,16,,0.016824,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,femme,40-59,7,,0.007361,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,homme,20-39,49,,0.051525,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,homme,40-59,15,,0.015773,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,homme,60+,2,,0.002103,,Analyse interne OC
2025,Bourgogne-Franche-Comté,femme,20-39,5,,0.005258,,Analyse interne OC
2025,Bourgogne-Franche-Comté,femme,40-59,1,,0.001052,,Analyse interne OC
2025,Bourgogne-Franche-Comté,homme,20-39,11,,0.011567,,Analyse interne OC
2025,Bourgogne-Franche-Comté,homme,40-59,2,,0.002103,,Analyse interne OC
2025,Bretagne,Non renseigné,60+,1,,0.001052,,Analyse interne OC
2025,Bretagne,femme,20-39,4,,0.004206,,Analyse interne OC
2025,Bretagne,femme,40-59,4,,0.004206,,Analyse interne OC
2025,Bretagne,femme,60+,1,,0.001052,,Analyse interne OC
2025,Bretagne,homme,20-39,14,,0.014721,,Analyse interne OC
2025,Bretagne,homme,40-59,6,,0.006309,,Analyse interne OC
2025,Centre-Val de Loire,femme,20-39,7,,0.007361,,Analyse interne OC
2025,Centre-Val de Loire,femme,40-59,5,,0.005258,,Analyse interne OC
2025,Centre-Val de Loire,homme,20-39,15,,0.015773,,Analyse interne OC
2025,Centre-Val de Loire,homme,40-59,6,,0.006309,,Analyse interne OC
2025,Centre-Val de Loire,homme,60+,2,,0.002103,,Analyse interne OC
2025,DROM,Non renseigné,20-39,2,,0.002103,,Analyse interne OC
2025,DROM,femme,20-39,1,,0.001052,,Analyse interne OC
2025,DROM,femme,40-59,2,,0.002103,,Analyse interne OC
2025,DROM,homme,20-39,7,,0.007361,,Analyse interne OC
2025,DROM,homme,40-59,3,,0.003155,,Analyse interne OC
2025,DROM,homme,60+,1,,0.001052,,Analyse interne OC
2025,Grand Est,Non renseigné,20-39,3,,0.003155,,Analyse interne OC
2025,Grand Est,Non renseigné,40-59,4,,0.004206,,Analyse interne OC
2025,Grand Est,femme,20-39,10,,0.010515,,Analyse interne OC
2025,Grand Est,femme,40-59,3,,0.003155,,Analyse interne OC
2025,Grand Est,homme,20-39,26,,0.027340,,Analyse interne OC
2025,Grand Est,homme,40-59,8,,0.008412,,Analyse interne OC
2025,Hauts-de-France,Non renseigné,20-39,3,,0.003155,,Analyse interne OC
2025,Hauts-de-France,Non renseigné,40-59,1,,0.001052,,Analyse interne OC
2025,Hauts-de-France,femme,20-39,6,,0.006309,,Analyse interne OC
2025,Hauts-de-France,femme,40-59,4,,0.004206,,Analyse interne OC
2025,Hauts-de-France,homme,20-39,36,,0.037855,,Analyse interne OC
2025,Hauts-de-France,homme,40-59,10,,0.010515,,Analyse interne OC
2025,Normandie,Non renseigné,20-39,2,,0.002103,,Analyse interne OC
2025,Normandie,Non renseigné,40-59,1,,0.001052,,Analyse interne OC
2025,Normandie,femme,40-59,3,,0.003155,,Analyse interne OC
2025,Normandie,homme,20-39,8,,0.008412,,Analyse interne OC
2025,Normandie,homme,40-59,8,,0.008412,,Analyse interne OC
2025,Nouvelle-Aquitaine,Non renseigné,20-39,3,,0.003155,,Analyse interne OC
2025,Nouvelle-Aquitaine,Non renseigné,40-59,1,,0.001052,,Analyse interne OC
2025,Nouvelle-Aquitaine,Non renseigné,60+,1,,0.001052,,Analyse interne OC
2025,Nouvelle-Aquitaine,femme,20-39,7,,0.007361,,Analyse interne OC
2025,Nouvelle-Aquitaine,femme,40-59,7,,0.007361,,Analyse interne OC
2025,Nouvelle-Aquitaine,homme,20-39,24,,0.025237,,Analyse interne OC
2025,Nouvelle-Aquitaine,homme,40-59,8,,0.008412,,Analyse interne OC
2025,Occitanie,Non renseigné,20-39,1,,0.001052,,Analyse interne OC
2025,Occitanie,Non renseigné,40-59,1,,0.001052,,Analyse interne OC
2025,Occitanie,femme,20-39,14,,0.014721,,Analyse interne OC
2025,Occitanie,femme,40-59,7,,0.007361,,Analyse interne OC
2025,Occitanie,homme,20-39,34,,0.035752,,Analyse interne OC
2025,Occitanie,homme,40-59,12,,0.012618,,Analyse interne OC
2025,Pays de la Loire,Non renseigné,20-39,1,,0.001052,,Analyse interne OC
2025,Pays de la Loire,femme,20-39,4,,0.004206,,Analyse interne OC
2025,Pays de la Loire,femme,40-59,5,,0.005258,,Analyse interne OC
2025,Pays de la Loire,homme,20-39,11,,0.011567,,Analyse interne OC
2025,Pays de la Loire,homme,40-59,7,,0.007361,,Analyse interne OC
2025,Provence-Alpes-Côte d'Azur,Non renseigné,20-39,3,,0.003155,,Analyse interne OC
2025,Provence-Alpes-Côte d'Azur,Non renseigné,40-59,1,,0.001052,,Analyse interne OC
2025,Provence-Alpes-Côte d'Azur,femme,20-39,16,,0.016824,,Analyse interne OC
2025,Provence-Alpes-Côte d'Azur,femme,40-59,10,,0.010515,,Analyse interne OC
2025,Provence-Alpes-Côte d'Azur,homme,20-39,39,,0.041009,,Analyse interne OC
2025,Provence-Alpes-Côte d'Azur,homme,40-59,14,,0.014721,,Analyse interne OC
2025,Île-de-France,Non renseigné,20-39,23,,0.024185,,Analyse interne OC
2025,Île-de-France,Non renseigné,40-59,8,,0.008412,,Analyse interne OC
2025,Île-de-France,femme,20-39,108,,0.113565,,Analyse interne OC
2025,Île-de-France,femme,40-59,34,,0.035752,,Analyse interne OC
2025,Île-de-France,homme,20-39,166,,0.174553,,Analyse interne OC
2025,Île-de-France,homme,40-59,49,,0.051525,,Analyse interne OC
2025,Île-de-France,homme,60+,3,,0.003155,,Analyse interne OC
2025,Auvergne-Rhône-Alpes,femme,20-39,16,980849,0.018038,0.018552,Comparaison OC vs INSEE
2025,Auvergne-Rhône-Alpes,femme,40-59,7,1065283,0.007892,0.020149,Comparaison OC vs INSEE
2025,Auvergne-Rhône-Alpes,femme,60+,0,1248519,0.000000,0.023614,Comparaison OC vs INSEE
2025,Auvergne-Rhône-Alpes,homme,20-39,49,987677,0.055242,0.018681,Comparaison OC vs INSEE
2025,Auvergne-Rhône-Alpes,homme,40-59,15,1044367,0.016911,0.019753,Comparaison OC vs INSEE
2025,Auvergne-Rhône-Alpes,homme,60+,2,1015863,0.002255,0.019214,Comparaison OC vs INSEE
2025,Bourgogne-Franche-Comté,femme,20-39,5,294176,0.005637,0.005564,Comparaison OC vs INSEE
2025,Bourgogne-Franche-Comté,femme,40-59,1,353435,0.001127,0.006685,Comparaison OC vs INSEE
2025,Bourgogne-Franche-Comté,femme,60+,0,485529,0.000000,0.009183,Comparaison OC vs INSEE
2025,Bourgogne-Franche-Comté,homme,20-39,11,306378,0.012401,0.005795,Comparaison OC vs INSEE
2025,Bourgogne-Franche-Comté,homme,40-59,2,349022,0.002255,0.006601,Comparaison OC vs INSEE
2025,Bourgogne-Franche-Comté,homme,60+,0,397082,0.000000,0.007510,Comparaison OC vs INSEE
2025,Bretagne,femme,20-39,4,371131,0.004510,0.007019,Comparaison OC vs INSEE
2025,Bretagne,femme,40-59,4,442514,0.004510,0.008370,Comparaison OC vs INSEE
2025,Bretagne,femme,60+,1,597567,0.001127,0.011302,Comparaison OC vs INSEE
2025,Bretagne,homme,20-39,14,383817,0.015784,0.007259,Comparaison OC vs INSEE
2025,Bretagne,homme,40-59,6,436960,0.006764,0.008265,Comparaison OC vs INSEE
2025,Bretagne,homme,60+,0,481196,0.000000,0.009101,Comparaison OC vs INSEE
2025,Centre-Val de Loire,femme,20-39,7,276038,0.007892,0.005221,Comparaison OC vs INSEE
2025,Centre-Val de Loire,femme,40-59,5,330569,0.005637,0.006252,Comparaison OC vs INSEE
2025,Centre-Val de Loire,femme,60+,0,437459,0.000000,0.008274,Comparaison OC vs INSEE
2025,Centre-Val de Loire,homme,20-39,15,278389,0.016911,0.005265,Comparaison OC vs INSEE
2025,Centre-Val de Loire,homme,40-59,6,319807,0.006764,0.006049,Comparaison OC vs INSEE
2025,Centre-Val de Loire,homme,60+,2,355150,0.002255,0.006717,Comparaison OC vs INSEE
2025,Corse,femme,20-39,0,39630,0.000000,0.000750,Comparaison OC vs INSEE
2025,Corse,femme,40-59,0,49026,0.000000,0.000927,Comparaison OC vs INSEE
2025,Corse,femme,60+,0,62269,0.000000,0.001178,Comparaison OC vs INSEE
2025,Corse,homme,20-39,0,37859,0.000000,0.000716,Comparaison OC vs INSEE
2025,Corse,homme,40-59,0,47113,0.000000,0.000891,Comparaison OC vs INSEE
